,STOPPOINTID,LAT,LNG,LOCATION
0,1185,53.376367,-6.221512999999999,Grace Park
1,1186,53.37764310000001,-6.226329900000001,Grace Park
2,1187,53.3786075,-6.231355400000001,Grace Park
3,1188,53.3800185,-6.2355961,Beaumont
4,216,53.3823052,-6.2381863,Whitehall
5,217,53.38432359999999,-6.236801099999999,Whitehall
6,242,53.3856549,-6.232010400000001,Beaumont
7,243,53.3857858,-6.229650400000001,Beaumont
8,244,53.3849982,-6.2234985,Beaumont
9,245,53.3844722,-6.219566599999999,Beaumont
10,246,53.38515049999999,-6.216230899999999,Beaumont
11,248,53.3855646,-6.2144696,Beaumont
12,254,54.44177999999999,-5.462155999999999,Newtownards BT22 1RY
13,297,53.34814719999999,-6.256796,North City
14,4382,53.37467600000001,-6.2195089,Clontarf West
15,4384,53.3576698,-6.2427183,Dublin
16,496,N/A,N/A,N/A
17,497,53.3505441,-6.250709100000001,Mountjoy
18,515,53.353535,-6.248092,Mountjoy
19,516,53.3556839,-6.245705699999998,Dublin
20,519,53.3603004,-6.2395691,Dublin
21,521,53.361637,-6.2379785,Clontarf West
22,522,53.3632889,-6.235416000000001,Dublin
23,523,53.364285,-6.231693,Dublin
24,669,53.366317,-6.228678899999999,Dublin
25,670,53.36891240000001,-6.226064300000001,Grace Park
26,671,53.3444412,-6.261696100000001,5 Lower College Green
27,672,53.3734664,-6.221077800000002,Grace Park
28,7490,44.625419,-63.513403,Eastern Passage
29,7659,53.24205399999999,-6.142970000000001,Cherrywood
30,1325,53.28653299999999,-6.2824079,Haroldsgrange
31,1326,53.2888051,-6.282901700000001,Willbrook
32,1327,53.29119069999999,-6.282535999999999,Rathfarnham
33,1328,53.29220379999999,-6.282360400000001,Rathfarnham
34,1329,53.29495170000001,-6.281944800000001,Rathfarnham
35,1330,53.2961638,-6.283994900000001,Rathfarnham
36,1331,53.2985266,-6.284624699999999,Rathfarnham
37,1332,53.30075720000001,-6.284057600000001,Rathfarnham
38,1333,43.82315,-79.36668999999999,Markham
39,1334,53.3048906,-6.2834395,Rathfarnham
40,1335,53.3074416,-6.2839576,Terenure
41,1336,53.308905,-6.284036499999998,Terenure
42,1337,53.311179,-6.283069299999999,Terenure
43,1338,53.3124304,-6.2825839,Terenure
44,1339,53.3150079,-6.2822701,Terenure
45,1340,53.316471,-6.280996,Terenure
46,1341,53.3192276,-6.278993599999999,Terenure
47,1342,53.3213455,-6.2793888,Terenure
48,1343,53.3226673,-6.2794256,Terenure
49,1344,53.3271711,-6.277608,Harold's Cross
50,1345,53.3287961,-6.2762363,Harold's Cross
51,1347,53.331183,-6.275344299999999,Dublin 8
52,1348,53.33224949999999,-6.273889799999999,Portobello
53,1349,53.3323857,-6.270881300000001,Portobello
54,1350,53.3325772,-6.2674753,Saint Kevin's
55,1352,53.3344454,-6.2654073,Saint Kevin's
56,1353,53.3360095,-6.2654189,Saint Kevin's
57,1355,53.3400962,-6.265838799999999,Dublin 8
58,1357,53.3425679,-6.264596999999999,Dublin 8
59,1359,53.3443994,-6.2613686,Dublin
60,278,53.3522532,-6.2598923,Rotunda
61,2976,53.3920509,-6.438149500000001,Hansfield
62,2977,38.101601,-84.539146,Lexington
63,2978,53.2769944,-6.2655005,Ballinteer
64,2979,53.27846359999999,-6.268350299999999,Ballinteer
65,2980,53.2800165,-6.273071400000001,Haroldsgrange
66,2981,53.2812724,-6.2772499,Haroldsgrange
67,2991,53.28331660000001,-6.279387400000001,Haroldsgrange
68,2992,53.284628,-6.2811944,Haroldsgrange
69,320,53.3456456,-6.259305199999999,Temple Bar
70,5171,53.2717359,-6.2482606,Kingstown
71,7589,-34.54167,-58.58703999999999,Jose Leon Suarez
72,7615,53.35262789999999,-6.264261,Rotunda
73,1171,53.35031900000001,-6.254263000000001,North City
74,1172,N/A,N/A,N/A
75,1173,53.3537056,-6.256678300000001,Rotunda
76,1174,53.3562538,-6.258655099999999,Rotunda
77,1175,53.3584132,-6.2608432,Rotunda
78,15,54.100384,-6.202217,Rostrevor
79,1620,53.3832635,-6.244151,Whitehall
80,1622,53.3900378,-6.2464131,Whitehall
81,1623,53.39193210000001,-6.246260100000001,Whitehall
82,1624,53.39607809999999,-6.245452699999998,Whitehall
83,1625,53.40111150000001,-6.24331,Santry
84,1626,53.404139,-6.2403622,Santry
85,1627,53.40824789999999,-6.237887499999998,Turnapin Little
86,1628,53.4137122,-6.2390757,Dardistown
87,1629,53.4169466,-6.2389871,Old Airport Rd
88,1630,53.4218583,-6.231887500000001,Toberbunny
89,17,53.36307829999999,-6.258399299999999,Botanic
90,18,39.5947321,-86.0830423,Stop 18
91,19,53.3672191,-6.2555984,Botanic
92,203,51.8839625,-8.482403,Ballyphehane
93,204,54.71847899999999,-7.237457,Gortin
94,205,53.3813813,-6.2453447,Whitehall
95,21,53.3701012,-6.254310599999998,Drumcondra
96,220,53.3879142,-6.2449726,Whitehall
97,288,53.3491732,-6.255569800000001,North City
98,3670,53.4245773,-6.2298538,Corballis
99,3671,N/A,N/A,N/A
100,3672,53.4321755,-6.2300799,Cloghran
101,3674,53.4368236,-6.227343500000001,Pierce monuments
102,3675,53.4449735,-6.227091899999999,Nevinstown West
103,3676,53.4467722,-6.228365200000001,Nevinstown West
104,3679,53.4590817,-6.220135699999999,Townparks
105,3682,53.462024,-6.231248099999999,Commons West
106,3864,53.4639809,-6.2341572,Glebe
107,3865,53.46455210000001,-6.2346376,Outlands
108,3867,53.4732011,-6.2568084,Rathbeal
109,3874,53.4886436,-6.3042106,Rolestown East
110,4330,53.45435209999999,-6.215855599999999,Swords Demesne
111,5073,53.3438036,-6.269414299999999,Temple Bar
112,5074,53.45435209999999,-6.215855599999999,Swords Demesne
113,5075,53.4596634,-6.223590299999999,Swords Glebe
114,5076,N/A,N/A,N/A
115,6054,53.4449735,-6.227091899999999,Nevinstown West
116,7133,53.4680708,-6.240230199999998,Outlands
117,7134,53.4721731,-6.2518745,Oldtown
118,7135,53.4828148,-6.2881244,Rath
119,7136,53.487413,-6.295928000000001,Rath
120,7602,53.3715625,-6.2534485,Drumcondra
121,85,53.37395799999999,-6.2519134,Drumcondra
122,119,53.3636372,-6.2813734,115-119 Liam Whelan Bridge
123,1631,53.4223921,-6.230684200000001,Toberbunny
124,1632,53.4202558,-6.2335154,Toberbunny
125,1633,53.4181329,-6.2371477,Commons
126,1634,53.4168172,-6.2387541,Commons
127,1635,53.4117049,-6.238872799999999,Turnapin Little
128,1636,53.4082527,-6.237601499999999,Turnapin Little
129,1637,53.4040397,-6.240197099999998,Santry
130,1638,53.401711,-6.242162,Santry
131,1639,53.3965103,-6.2451181,Whitehall
132,1640,53.3923505,-6.2459872,Whitehall
133,1641,53.3865273,-6.242392999999999,Whitehall
134,1642,53.3839256,-6.2434148,Whitehall
135,213,54.427872,-6.45845,Portadown
136,214,53.37937650000001,-6.246558400000001,Whitehall
137,231,53.3892378,-6.2459176,Whitehall
138,277,53.35086649999999,-6.2605478,North City
139,292,53.349013,-6.256256499999999,North City
140,3565,53.56674979999999,-6.1021337,Holmpatrick
141,3566,53.57809379999999,-6.125093199999999,Townparks
142,3567,53.5762633,-6.119887100000001,Townparks
143,3664,53.6034365,-6.168284999999999,Kilsough North
144,3689,53.45891599999999,-6.219953899999999,Townparks
145,3691,53.45588370000001,-6.2216599,Swords Demesne
146,3692,53.2948872,-6.1349027,Dún Laoghaire
147,3694,53.4467722,-6.228365200000001,Nevinstown West
148,3695,53.447056,-6.228015800000001,Nevinstown West
149,3696,53.4467722,-6.228365200000001,Nevinstown West
150,3697,53.4406732,-6.227558999999999,Nevinstown East
151,3698,53.4368236,-6.227343500000001,Pierce monuments
152,3699,53.4350324,-6.2278672,Cloghran
153,3748,53.488496,-6.1969378,Lanestown
154,3749,53.47161070000001,-6.2108143,Lissenhall Great
155,3750,53.4684886,-6.213100300000001,Seatown West
156,3751,53.4609051,-6.218627999999999,Townparks
157,3752,53.4624375,-6.2181196,Townparks
158,3811,53.6058584,-6.1748022,Balbriggan
159,3812,53.60510379999999,-6.1708075,Kilsough North
160,3813,53.5914253,-6.1562199,Ardgillan Demesne
161,3814,53.58560319999999,-6.148698,Barnageera
162,3815,53.5819436,-6.125216100000001,Townparks
163,3816,53.5806398,-6.127478899999999,Townparks
164,3818,53.5798024,-6.110238100000001,Townparks
165,3819,53.5803449,-6.107027100000001,Townparks
166,3820,53.5778984,-6.1058876,Townparks
167,3822,53.575371,-6.104441,Townparks
168,3823,53.5727843,-6.101587599999998,Holmpatrick
169,3824,53.56990789999999,-6.1012422,Holmpatrick
170,3825,53.5625103,-6.1034758,Holmpatrick
171,3826,53.5584745,-6.102380400000001,Ballyhavil
172,3827,53.55400259999999,-6.101844199999999,Thomastown
173,3828,53.54990799999999,-6.101775999999999,Thomastown
174,3829,53.5469345,-6.1012447,Thomastown
175,3831,53.54243580000001,-6.096178199999999,Carnhill
176,3832,53.5391699,-6.092545699999999,Ballustree
177,3833,53.53365119999999,-6.090556999999999,Drumanagh
178,3834,53.5309168,-6.0914305,Rush Demesne
179,3835,53.52885459999999,-6.0912701,Rush
180,3836,53.5233929,-6.091177999999998,Rush
181,3837,53.5220163,-6.092623000000001,Rush
182,3838,53.5225261,-6.096363999999999,Rush
183,3840,53.5228338,-6.100060099999999,Rush
184,3842,53.5806398,-6.127478899999999,Townparks
185,3843,53.5189216,-6.116198400000001,Whitestown
186,3844,53.51869929999999,-6.116352399999998,Whitestown
187,3845,53.5176813,-6.120090899999999,Whitestown
188,3846,53.5181903,-6.127429399999999,Whitestown
189,3848,53.5205022,-6.138488000000001,Beau
190,3849,53.5209865,-6.141890399999999,Effelstown
191,3850,53.5216197,-6.146243399999999,Effelstown
192,3851,53.5219069,-6.148140599999999,Effelstown
193,3852,53.52246890000001,-6.154027199999999,Effelstown
194,3853,30.3757206,-81.69916549999999,Jacksonville
195,3854,53.52532519999999,-6.164416200000001,Lough Common
196,3855,53.52305579999999,-6.1676835,Racecourse Common
197,3856,53.5185928,-6.169842,Racecourse Common
198,3857,53.51472510000001,-6.1731452,Bridetree
199,3858,53.511152,-6.177981300000001,Balleally West
200,3859,53.5098148,-6.1802013,Balleally West
201,3860,53.5070643,-6.185380599999999,Newhaggard
202,3861,52.2258282,5.476189199999999,Havenstraat 25
203,3862,53.502289,-6.192231,Coldwinters
204,3863,53.494283,-6.195254200000002,Turvey
205,3885,53.42596059999999,-6.229124199999998,Corballis
206,44,53.37301599999999,-6.252131999999999,Drumcondra
207,4432,53.37720749999999,-6.248563699999999,Whitehall
208,45,53.3699277,-6.2540936,Drumcondra
209,46,53.367131,-6.255258599999999,Drumcondra
210,47,54.458477,-6.32078,Lurgan
211,48,53.362241,-6.2587837,Drumcondra
212,49,53.311179,-6.283069299999999,Terenure
213,5053,53.4196497,-6.234651500000001,Toberbunny
214,5064,53.6059539,-6.183994900000001,Balbriggan
215,51,53.3578104,-6.263271599999999,Rotunda
216,52,53.3566608,-6.264565300000001,Rotunda
217,6048,53.6044838,-6.184506300000001,Balbriggan
218,6050,53.4810543,-6.202521,Lissenhall Little
219,7173,53.6062394,-6.180202099999999,Balbriggan
220,7292,36.07544769999999,-96.0286527,Tulsa
221,7592,N/A,N/A,N/A
222,7594,43.03325400000001,-76.16466,Syracuse
223,7603,53.371562,-6.253114600000001,Drumcondra
224,1055,53.2952258,-6.2557598,Churchtown Lower
225,1310,53.2917295,-6.267249400000001,Whitehall
226,1311,53.29221459999999,-6.264488000000001,Whitehall
227,1312,53.2933044,-6.261320799999999,Whitehall
228,1313,53.2941807,-6.258773099999999,Churchtown Upper
229,2825,53.292416,-6.245734,Dundrum
230,2868,53.2938797,-6.248412999999999,Churchtown Lower
231,2934,53.2621352,-6.2976557,Newtown
232,2935,53.2640845,-6.297195599999999,Newtown
233,2936,53.2660425,-6.2978422,Newtown
234,2937,53.2686499,-6.298761499999999,Newtown
235,2938,53.2715948,-6.299108,Edmondstown
236,2940,53.28028769999999,-6.297500499999998,Ballyboden
237,2948,53.2819648,-6.2958232,Ballyboden
238,2949,53.2816696,-6.2932036,Ballyboden
239,2950,53.28179429999999,-6.288463199999999,Ballyboden
240,2954,53.2780039,-6.2863937,Clarkstown
241,2956,53.2781202,-6.2861644,Clarkstown
242,2965,53.28030030000001,-6.284286500000001,Haroldsgrange
243,2967,53.28134679999999,-6.2768998,Haroldsgrange
244,2968,53.2803293,-6.273568599999999,Haroldsgrange
245,2969,53.2794019,-6.270412999999999,Ballinteer
246,2970,53.27816350000001,-6.267260500000002,Ballinteer
247,4336,53.2861748,-6.266462,Whitehall
248,4337,53.290693,-6.2689483,Whitehall
249,4707,53.28238959999999,-6.262612,Ballinteer
250,4708,53.2839233,-6.2653778,Whitehall
251,4988,53.2621352,-6.2976557,Newtown
