PLANNEDTIME_DEP,ROUTEID,TOTAL_JOURNEY_TIME,rain,temp,wet_bulb_temp(C),dew_pt_temp(C),vapour_pressure(hPa),humidity(%),sea_lvl_pressure(hPa),sin_hour_of_day,cos_hour_of_day,friday,monday,saturday,sunday,thursday,tuesday,wednesday
1,18_3,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
1,67_6,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1
1,142_9,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0
1,17_16,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0
1,46A_74,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1
0,122_14,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
0,150_8,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1
1,33X_49,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0
1,83_19,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0
1,270_44,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
1,84_30,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
1,130_10,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
1,66A_36,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1
1,46A_66,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
1,102_8,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
1,68_81,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
0,66_11,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1
1,26_28,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0,104_15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,40_31,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1
1,15_19,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
0,145_106,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
1,76_37,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1
0,185_57,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0
1,67_4,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1
1,13_68,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1
1,38_9,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1
1,68_79,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1
1,120_13,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
0,83_25,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0
1,16_21,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0
1,65_74,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1
1,38A_32,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
1,40B_65,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1,4_10,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1
1,16C_28,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,84A_3,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1
1,15B_64,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
1,77A_29,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1
1,44_40,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
1,47_138,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1
1,40D_102,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
0,83_16,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1
1,185_59,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0
1,79_11,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1
1,1_41,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1
1,65_75,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1
1,39A_40,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1
1,29A_15,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1
1,7_70,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
1,184_28,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,140_19,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
1,40E_90,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
1,38_10,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1
1,46A_67,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1
1,83A_26,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0
1,17_15,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1
1,1_38,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1
0,27B_23,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
