MODEL,ROUTEID,MAE,RMSE,R2
SVR,18_3,-431.39024480551643,-639.1539489040189,0.6794515581335134
SVR,67_6,-429.5781033545766,-617.9662076823587,0.560556816380699
SVR,142_9,-203.94597214733372,-379.10522157319065,-0.022191823087995572
SVR,17_16,-257.26304879626446,-372.50661713254794,0.5123388919973669
SVR,46A_74,-437.02753494795206,-654.2971652874098,0.5846673660205818
SVR,122_14,-396.0802486923526,-579.4854804070713,0.4866564799354343
SVR,150_8,-299.4937651989034,-479.6564635096401,0.47434982320547503
SVR,33X_49,-438.66353521107794,-741.7637968248818,0.2787046856553023
SVR,83_19,-379.8934090020028,-536.364738785611,0.2822120027790053
SVR,270_44,-224.9984813726866,-339.73650376844785,0.3364348910862393
SVR,84_30,-490.5379191611787,-721.6148913405791,0.45927813043309457
SVR,130_10,-200.54628167998916,-300.66062185099844,0.5570830776179166
SVR,66A_36,-447.2017088352827,-700.7201153208922,0.342035577344212
SVR,46A_66,-219.66344552312611,-287.8328780447918,0.3547274733083354
SVR,102_8,-362.17962912363276,-507.6391938481642,0.5237633365996414
SVR,68_81,-424.25624852455957,-621.4173818510599,0.6095668912995925
SVR,66_11,-434.532216483887,-665.9604101991881,0.565474766722232
SVR,26_28,-316.1722218371526,-446.7741484074361,0.4864228182074945
SVR,104_15,-355.581493790374,-522.067646726198,0.37235290209065114
SVR,40_31,-552.4390469586829,-822.0345159738978,0.5126058785129718
SVR,15_19,-532.3462031525768,-774.3041214939849,0.46596195621530995
SVR,145_106,-346.4566150938156,-538.9939580108565,0.24352470482130226
SVR,76_37,-317.79346032141984,-519.4887761072135,0.6235181986604293
SVR,67_4,-414.3821729048854,-639.4982022174477,0.5470062698455518
SVR,13_68,-643.7939312263883,-975.812047861317,0.39590786559365165
SVR,38_9,-433.8283579384369,-622.9487833303793,0.6659999246522993
SVR,120_13,-196.83887967023506,-425.0600893730914,0.3893267100525705
SVR,16_21,-412.6095715696352,-617.2023756464719,0.5158089656800938
SVR,65_74,-536.2709694774425,-976.9603067812368,0.4573036224264113
SVR,38A_32,-528.4660538265556,-745.3141196074981,0.5122916828363052
SVR,40B_65,-340.66033698601876,-535.3199584251812,0.38038298363915296
SVR,4_10,-417.19557634568145,-601.1940662770418,0.6243701299599956
SVR,16C_28,-268.3810790983352,-346.4219059368019,0.5039881992188832
SVR,15B_64,-431.3363278714456,-633.9195838075435,0.5500322822777693
SVR,77A_29,-447.12935506133687,-690.1363559520319,0.6612454087386035
SVR,44_40,-412.81705746207587,-633.0192109722766,0.6690198999162643
SVR,47_138,-406.63806732962803,-536.123470696485,0.19592831627859966
SVR,40D_102,-348.8851487007252,-534.5547772840335,0.2888791265081923
SVR,83_16,-526.2941495414713,-739.3534920975939,0.6060831348032628
SVR,79_11,-310.2646674558112,-492.28492690361946,0.5291174418699147
SVR,1_41,-193.51053546943646,-261.6234601412795,0.7102579542457668
SVR,65_75,-669.3176609454373,-898.9203875148327,0.5387426368975136
SVR,39A_40,-559.6980813652483,-880.0513697636479,0.5434518326612784
SVR,29A_15,-269.4823797286357,-393.4356586159053,0.5988132293925073
SVR,7_70,-540.7973247387469,-720.9076550473725,0.4660825179008119
SVR,184_28,-403.5206788263195,-553.7966369980768,0.48573047589102836
SVR,140_19,-355.76045804385467,-533.9793849627819,0.5384142396808873
SVR,40E_90,-381.37932589711005,-495.877591094307,0.19817710800132057
SVR,38_10,-463.7382821666304,-649.8763643549393,0.5188130706117735
SVR,46A_67,-492.2858808615045,-673.0037619979879,0.5939175504386723
SVR,83A_26,-351.3784416096621,-479.1292853307462,0.24319545381099295
SVR,17_15,-465.0194827993591,-658.7105197373077,0.675114763790592
SVR,1_38,-186.73675441512978,-267.0027522868983,0.5443894448774772
SVR,27B_23,-322.2511815414995,-472.96495014544234,0.5447895626239511
SVR,13_72,-474.69298155994926,-672.5461833815324,0.3463311917724286
SVR,83A_17,-465.8944953009136,-681.5915255927226,0.49582159992023883
SVR,33_45,-715.0324040881696,-1079.267747622221,0.3039163894888211
SVR,15_17,-566.826164251468,-834.0038956872999,0.43974524847394214
SVR,123_36,-395.398768901118,-571.796481978431,0.5583549778548884
SVR,14_15,-483.7144230231529,-712.1414607192586,0.5633326482525229
SVR,111_8,-331.05521226447615,-597.6643797022733,0.07918844699275578
SVR,84A_1,-493.3528159539594,-720.4734904196129,0.39127086883529233
SVR,54A_12,-419.27779954198996,-660.3946560049301,0.599670394387422
SVR,65_77,-743.5964135435383,-1081.297062507896,0.5475108301005243
SVR,75_21,-579.9479829917964,-815.7908899788664,0.8136522962334455
SVR,66B_55,-494.3918898217841,-654.8045417430211,0.4594236388317938
SVR,4_14,-535.7962856170184,-692.2877618882172,0.5766854040016116
SVR,9_7,-431.8878323628816,-617.4217201494798,0.5951266969177446
SVR,79A_28,-327.94348368449795,-493.3152878218454,0.5612056935017646
SVR,75_18,-636.1944542445086,-832.5355038671655,0.6656311700818928
SVR,142_12,-570.2236159520186,-740.524215301602,0.013525062396127977
SVR,17A_17,-466.2980693568971,-618.2967347313092,0.28798840139218757
SVR,14_16,-473.36963805663817,-695.8438427088822,0.5249444916471582
SVR,15A_83,-302.45837286962325,-458.4855380057488,0.6588268344942986
SVR,39_21,-498.23655779673345,-735.4017540216386,0.5570937090471882
SVR,151_18,-255.2841354231991,-407.70689128884305,0.4049283963736144
SVR,238_15,-244.68594907519386,-377.6826144828467,0.43858530239415133
SVR,79A_27,-287.41691613257234,-503.0739369654887,0.43234039950997416
SVR,7_73,-310.3166561177558,-448.52965089946696,0.6592962618506718
SVR,69_47,-528.2748982041879,-734.7042736988393,0.4852466262441382
SVR,13_66,-508.5674291314828,-716.9538571116501,0.3941527626034092
SVR,32_58,-291.7827825708592,-420.5655281284938,0.5252453718267655
SVR,145_91,-454.59660344461105,-610.5076333312825,0.2542489763462184
SVR,66_13,-467.30209454623855,-679.3171382782415,0.5535764251426856
SVR,185_56,-246.73973120690107,-427.9442540734378,0.22549771483771586
SVR,14_12,-258.0900407506776,-427.5462261634328,0.5926843755280822
SVR,83A_23,-452.5477299200127,-647.9016336264152,0.4985027758822201
SVR,53_20,-434.58324201604455,-667.4251312900237,0.5480812690038994
SVR,11_40,-489.3214631164037,-725.9304977684028,0.6269736040838242
SVR,83_22,-519.5984213682019,-740.25417959001,0.5173200600335972
SVR,151_16,-262.090331124593,-375.63923132343376,0.5418253847113123
SVR,84_31,-493.9602238554283,-799.8426681104947,0.392077101918276
SVR,66A_37,-427.03866593692356,-596.4754070376215,0.46884292383259724
SVR,150_10,-412.0335787977984,-530.9631100964176,0.272263771967495
SVR,122_16,-395.9480586323854,-582.8120322146574,0.46530198117724936
SVR,239_28,-535.0399066876898,-739.8565669938874,0.3270957434438267
SVR,38A_20,-487.9174502670037,-687.037103123951,0.5967645473404629
SVR,40D_104,-338.3106176490265,-455.4375213110725,0.22061154904855743
SVR,53_21,-188.6020240660284,-343.92464665533197,0.38754035223781463
SVR,102_9,-329.46612812220724,-464.0665326553099,0.5024351639102039
SVR,38B_40,-415.2198962799471,-532.9109761265119,0.32645054349249997
SVR,26_29,-367.21304930216934,-574.19394539859,0.4417521094366041
SVR,114_6,-312.27736632773593,-508.283039813462,0.5169560764247195
SVR,84X_62,-719.9872059073479,-932.8767046870684,0.3689965852358677
SVR,7A_86,-362.20045280592694,-489.0910309727783,0.4897261750189756
SVR,270_42,-240.5973760524566,-491.55087117075715,0.2904273415517921
SVR,7A_89,-425.7234697622348,-620.1796330160333,0.5098299032582793
SVR,111_7,-285.7594663752299,-471.1062739606059,0.4495661632017975
SVR,185_50,-147.94652434852438,-257.03068639549116,0.37104094373177204
SVR,26_24,-336.05652569838304,-543.5837285250295,0.3478042691164179
SVR,40_32,-244.2669411156569,-355.69213313685145,0.48335065874061395
SVR,84_28,-576.7724048508744,-928.9055784362426,0.34545830287746737
SVR,17A_11,-313.28382842660665,-450.0042695752404,0.3729670612051205
SVR,7_74,-490.7185330135674,-617.9182004018153,0.5841419722493515
SVR,38B_44,-488.5907981724005,-635.5564729969802,0.32986704908015385
SVR,27_19,-582.9684766227371,-903.7404416620037,0.5677077322985697
SVR,84_27,-522.7439465444953,-783.3903045418447,0.4316449818113268
SVR,7_66,-564.6266465659697,-936.624885681304,0.3066581546942602
SVR,15B_61,-398.4183964598589,-607.6509010816594,0.6042673133291855
SVR,142_8,-175.1340573585047,-237.81512877737075,0.09589653321338994
SVR,27B_34,-261.839791227252,-369.79927477755155,0.5957445092017571
SVR,70_67,-559.7967726725852,-801.8308317893485,0.5676961738836671
SVR,45A_64,-380.9882143523071,-553.4886738299145,0.5635923098503707
SVR,41C_83,-510.53531050091556,-786.2653927714244,0.46019617426767073
SVR,161_51,-396.607960422992,-580.9950307545178,0.017053393077115214
SVR,38_15,-414.4224257969975,-648.958588625641,0.33783729197026097
SVR,68_80,-353.11274411103176,-487.8502843608093,0.25461928778909104
SVR,41B_52,-396.3463509373216,-581.6396997652702,0.5671393765217169
SVR,184_29,-285.87991632058,-446.0672982505908,0.3369331409414225
SVR,140_21,-463.91118122949496,-651.7064829949769,0.44844206362215305
SVR,25B_274,-321.43567754311493,-468.81168570415247,0.6485816151426449
SVR,220_10,-448.2343895845879,-871.8997775863537,0.43047767975790086
SVR,15_18,-385.85098784704877,-608.1631826863969,0.589143509082973
SVR,31_18,-279.64133901341864,-405.7457004783475,0.48769672849284956
SVR,39A_43,-450.81046197186606,-738.0886124610755,0.5261820519351056
SVR,56A_30,-358.4101656461412,-599.0034027887232,0.6151690697777853
SVR,33B_56,-209.36254950402576,-338.87737116986347,0.28708755228415034
SVR,66B_57,-427.9291462802583,-648.4591138186224,0.4442933856319158
