ROUTEID,R2,MODEL,MAE,RMSE,Weight
46A_74,0.5682742432565063,RFR,-441.7727907852289,-666.8723606162769,0.0178106930170201
46A_67,0.581139645891576,RFR,-493.2773440554183,-683.4346814246155,0.0171254245599586
40_31,0.5022002575800104,RFR,-567.4993370667574,-831.006496327231,0.01372580145761
40_27,0.5784306834874977,RFR,-553.6994316760334,-783.3946581740416,0.013461753061311
145_102,0.4817682702184813,RFR,-502.32356878018055,-776.8007635113421,0.0130531067337056
15_17,0.4473634720536192,RFR,-572.1102195686138,-828.3842489146382,0.0127591957211586
145_105,0.6167525000543238,RFR,-431.7430143375412,-686.8075788419416,0.0127434785547122
130_11,0.5566538124776496,RFR,-215.6579779771204,-308.4152034013012,0.0127136159384641
130_10,0.609340436144294,RFR,-193.6218524040385,-281.9091631820456,0.0124778584417686
39A_43,0.4634888137192162,RFR,-443.94315924838384,-779.891123165961,0.0124322786590742
39A_40,0.5391986840435101,RFR,-571.4626301382594,-884.1428340780388,0.0120912161471881
16_24,0.5594786532982385,RFR,-574.9342993096808,-841.4431429273945,0.0118554586504926
123_36,0.5486553979957637,RFR,-402.0096202749669,-577.9184133458511,0.0113242184246055
123_34,0.5066907049789028,RFR,-448.5413592191996,-659.0683740576991,0.0111733336267204
16_20,0.4970897706846615,RFR,-603.7978280783271,-859.0007980401556,0.0111717619100758
27_19,0.5930299593663692,RFR,-586.7602660241183,-877.0550304864282,0.0110743154781083
9_5,0.6013013034910021,RFR,-433.8239341872657,-637.4278688467151,0.0105760813017585
9_7,0.59916450620495,RFR,-431.06145616367377,-614.9661249641678,0.0103717581379558
140_19,0.5414253421669882,RFR,-352.2797577927424,-531.5752070945185,0.0103088894721704
15_16,0.5571347840368548,RFR,-442.3485694317012,-709.8725905688301,0.0099882592766645
140_21,0.4622377549738194,RFR,-467.8133468499509,-643.1604464047095,0.0093674312020331
14_15,0.5928484749593446,RFR,-471.19851287176266,-687.9005305293017,0.0084951284642599
15B_60,0.5588995462429447,RFR,-429.80380002861006,-612.4544298578804,0.0083206679167053
14_16,0.5465983545749107,RFR,-467.661948695303,-679.7120360330413,0.0082955204503911
15A_83,0.6660404477841843,RFR,-302.39661287752966,-453.7315743429736,0.0080251851875136
37_15,0.6277611789945338,RFR,-372.78991155701857,-561.4281418850322,0.0080047528711333
29A_15,0.648250688776681,RFR,-252.90362200978305,-368.571828549741,0.0078711569563392
37_14,0.5991814946754083,RFR,-439.7417067017068,-631.4878693020706,0.0078460094900251
150_8,0.4701391531316517,RFR,-311.54607531275406,-481.59423492360446,0.0077281307416773
41_7,0.490297340684388,RFR,-398.8833879344224,-640.5974721781268,0.007673120659115
1_40,0.5262603269637695,RFR,-383.8303307111069,-621.4193863275024,0.0076322560263545
29A_14,0.5498965128265576,RFR,-286.9580486165634,-413.7026121805647,0.0076118237099742
27B_23,0.5442441217562011,KNNR,-328.520377254578,-473.1303041189787,0.007603965126751
1_37,0.5589947399176555,RFR,-306.20975937392564,-449.5538509441676,0.0074750843618909
25A_270,0.7145820601038873,RFR,-312.61922562662363,-476.4460000369402,0.0073556338968985
4_10,0.6547177892128708,RFR,-399.1491173224192,-576.3497928629835,0.0072660460481542
150_9,0.5529639064577202,RFR,-295.2208396210248,-425.5490674029352,0.0071843167826331
25B_271,0.71814723350865,RFR,-371.4334328380628,-517.88019802467,0.0070947289338888
25A_273,0.6814519229938778,RFR,-309.43029052893536,-450.7189850400029,0.0070428622846158
41_3,0.5296265570936837,RFR,-403.6644765856631,-585.1898987449684,0.0070365754180373
27_17,0.4544280353807304,RFR,-664.2483834226915,-944.313220780572,0.0070208582515909
25B_274,0.6558140362040984,RFR,-320.44872528162665,-463.3346701266569,0.0068636865871273
151_17,0.6399273849666647,RFR,-364.9540622053834,-532.0577886161182,0.0068448259873916
27B_34,0.6012704489333516,RFR,-261.0202503201592,-367.2325146378217,0.0066247856571425
41C_78,0.5443590831479689,RFR,-447.2216148048132,-648.1904073640831,0.0065776341578034
77A_28,0.7178707298774926,RFR,-427.6635402626691,-603.6595867401343,0.0065744907245142
122_16,0.5041427694902946,RFR,-388.1511235873632,-561.5556036418985,0.0065729190078695
39_21,0.5700255577342387,RFR,-495.9461907775651,-724.6312170654273,0.0065729190078695
122_14,0.5184620827682381,RFR,-385.8319298607357,-561.2960860382985,0.0065682038579356
11_42,0.6827244660852224,RFR,-428.8639816797681,-612.987583658,0.0065556301247785
79_11,0.6068633434937157,RFR,-300.50476259026965,-449.3742282541709,0.0065493432582
79_10,0.4190096881150436,SVR,-297.1397715172462,-510.4053656332503,0.0065131937753734
4_12,0.6702989608103856,RFR,-419.9605509672263,-588.1255396746948,0.0064723291426128
77A_29,0.6578572173497291,RFR,-445.2534700608808,-693.157564307514,0.0064644705593896
15B_61,0.6508641346202166,RFR,-383.2156596067766,-570.9175546556052,0.0064220342099844
67_6,0.6136612746695236,RFR,-405.7348417438182,-579.6800686320645,0.0063905998770917
42_44,0.5337700583244843,RFR,-380.4845328669344,-550.428093341223,0.0063843130105132
41C_79,0.4735515984643414,RFR,-411.44797329697855,-624.5107856140535,0.0063057271782813
31_18,0.5243914646133052,RFR,-270.5447101590285,-390.9692690971469,0.0062790079953225
42_42,0.3586787771904554,RFR,-430.3370875538463,-693.886879430419,0.0062680059788101
39_20,0.6572262452283443,RFR,-488.7461945490083,-692.6368584012376,0.0062460019457852
